dining_table_0,dining_table_1,dining_table_2,dining_table_3,dining_table_4,dining_table_5
4.0307075e-08,4.1627704e-10,4.254527e-10,0.9999907,3.0817316e-07,8.977353e-06
0.99753296,0.0010321492,0.00021622668,0.0011057104,5.6277517e-05,5.6688517e-05
0.0007522989,0.99882597,7.533287e-05,4.1876287e-06,0.0003375113,4.6323084e-06
5.2814863e-07,8.458058e-07,1.50332e-05,0.08266917,0.0004922343,0.91682225
7.1608933e-06,0.00032554966,0.0038381373,4.7918897e-05,0.06252569,0.9332556
0.00064140995,0.9820815,7.893044e-05,0.0011042622,0.01519095,0.00090299454
0.9976654,1.9551368e-05,2.9587414e-05,0.0022676776,1.3499729e-05,4.3138225e-06
2.6683554e-05,0.9991073,1.94384e-06,6.496616e-05,0.0007568305,4.2379e-05
0.91446394,0.015953653,0.069578566,9.63103e-09,2.6639875e-06,1.1919169e-06
0.0014177696,0.00081265206,9.269305e-06,0.9849887,0.0024351678,0.010336433
7.0990664e-06,9.9766665e-05,2.1944187e-07,0.99233115,0.0066043544,0.00095746736
0.05239329,0.12575196,0.0004672509,0.75478405,0.058000907,0.008602535
0.0053540417,0.9783012,0.009366088,2.3810187e-06,0.006108982,0.0008673936
0.93372524,0.002811565,0.0634621,4.862117e-08,5.584281e-07,5.0821603e-07
1.337787e-05,3.3377828e-06,5.4552336e-05,0.008371706,0.00016579227,0.9913912
0.9996816,0.00010069409,0.00011446549,8.359457e-05,1.9516327e-05,1.6515355e-07
0.0039093373,0.119230196,0.024832744,0.009564254,0.75838786,0.08407557
4.576318e-06,0.9999256,1.8321838e-06,1.292063e-07,6.73884e-05,5.5427216e-07
0.22917427,0.00096687366,5.7002097e-05,0.76864713,0.00081383996,0.0003408797
4.5763746e-10,8.216478e-12,5.7060373e-13,1.0,2.3985531e-09,7.096076e-10
2.9736648e-06,2.6810765e-06,0.002992625,4.750593e-06,2.6805283e-05,0.9969702
0.997681,3.225302e-06,2.1566066e-06,0.0023122157,7.3397797e-07,6.757409e-07
0.9999095,1.760307e-05,1.1440552e-05,6.075687e-05,4.224618e-07,8.79252e-08
0.025971945,0.5572373,0.004459624,0.09385201,0.27422962,0.04424945
0.10174485,3.994793e-07,2.7800095e-07,0.8982382,2.712139e-06,1.3643846e-05
0.8896303,0.09596542,0.014054527,2.361878e-07,0.00034648314,2.9698772e-06
4.2327624e-06,4.1047152e-09,7.6483825e-10,0.99999535,1.9488279e-07,1.4548628e-07
0.0009111832,0.71555585,0.00027364082,0.017371375,0.2462713,0.019616662
0.9999826,1.7485734e-06,1.5161048e-05,5.2584375e-07,2.0904364e-08,1.7028053e-09
0.0004623432,0.02852603,0.970828,7.448441e-08,1.4136971e-06,0.00018217108
0.7587207,0.022024257,0.19640517,0.000195821,0.0006047465,0.02204934
0.0018099354,0.12167086,0.87193775,4.5228407e-07,0.0012778824,0.0033031264
2.8865196e-08,8.380251e-08,1.5883877e-08,0.9995546,2.823787e-06,0.00044246233
0.2244963,0.7719611,0.0031177986,0.00013131273,0.00023322323,6.027464e-05
0.0008351781,0.99391586,0.0010836964,7.2407514e-05,0.002532412,0.0015605415
0.08398362,0.82064295,0.007770428,0.008905468,0.07596847,0.0027290715
