potted_plant_0,potted_plant_1,potted_plant_2,potted_plant_3,potted_plant_4
7.134499e-07,4.3712294e-07,5.281735e-10,2.0079906e-08,0.9999988
4.2421443e-06,0.9387761,1.2441992e-06,0.0032816883,0.05793676
1.4651188e-05,0.8827132,0.030885212,0.08629765,8.922473e-05
3.8503702e-05,0.0045926664,1.7988887e-06,5.7320985e-06,0.99536127
4.4120821e-07,1.3152852e-06,3.7459195e-08,4.0903796e-08,0.9999982
9.946573e-08,2.2256536e-05,1.730616e-08,3.754705e-08,0.9999776
0.0005147083,0.00017320891,1.0243104e-06,1.3019541e-05,0.999298
1.5336634e-09,7.667532e-06,2.2551756e-09,5.861263e-09,0.9999924
5.7487165e-07,0.012995825,0.9860794,0.00090416556,1.9987423e-05
6.313512e-10,0.00088902446,3.90154e-07,0.9990735,3.7031557e-05
4.5300867e-11,0.00016329925,4.0412074e-09,0.9998367,3.8348414e-08
2.525346e-06,0.9943825,6.668637e-05,2.6403144e-05,0.00552184
0.00041748793,0.00011784089,2.120871e-06,2.412042e-06,0.99946016
0.025002576,0.1424384,0.00041357204,0.0111313425,0.8210141
7.63486e-07,4.7770427e-06,1.4087101e-07,4.9061153e-08,0.9999943
3.563231e-07,0.0845832,0.016109563,0.7579699,0.14133698
5.030605e-09,4.6401775e-07,6.137623e-11,4.0147716e-10,0.9999995
0.00011744427,0.00020566458,8.3394497e-07,5.402755e-06,0.9996706
6.389548e-11,5.225173e-07,5.8937593e-09,9.657186e-10,0.9999995
0.00026785795,0.10142313,0.8638282,0.0029420587,0.03153872
0.016826184,0.89367306,0.0006796051,0.027545778,0.061275337
4.9572386e-06,0.9808171,3.4442442e-06,1.6463991e-07,0.019174423
0.17250866,0.14640176,0.00028905654,0.14097753,0.53982306
2.206349e-06,0.07395804,0.00014784813,6.139544e-05,0.92583054
0.016653366,0.6673398,0.0003188306,0.019087818,0.29660025
2.7956307e-06,0.001120788,3.8901497e-08,3.0567148e-06,0.9988733
1.2612547e-07,0.99995863,2.4673759e-07,3.3786116e-06,3.7692233e-05
1.5228505e-05,0.89337546,1.7848082e-06,0.00017955177,0.1064279
0.00027777135,0.85109615,3.1178017e-05,0.14705296,0.0015419298
1.9507652e-05,0.684055,0.00038061972,0.017968426,0.29757643
0.017455457,0.94751114,3.7750644e-05,0.001053596,0.033941966
0.99814165,8.680584e-05,4.3798888e-08,1.3503829e-07,0.0017713974
1.7430277e-05,0.023545377,7.616888e-06,2.2277031e-06,0.9764273
1.2666007e-06,0.9930039,2.2234476e-06,7.3866504e-05,0.0069187316
0.00026379674,6.636369e-05,3.856179e-06,1.2120238e-05,0.9996538
0.0001046182,0.92437667,9.542602e-06,9.7539436e-05,0.07541166
1.453049e-06,0.37307045,0.2315413,0.3932525,0.0021342954
0.001541387,0.005048758,3.640533e-05,0.00829918,0.9850743
2.544826e-07,0.999816,4.5149303e-08,1.5262325e-05,0.00016855143
0.045721084,0.02423086,3.55674e-05,0.0012407666,0.92877173
0.0008784113,0.115362346,0.006912587,0.00014218934,0.87670445
0.040460132,0.014236354,0.15483922,0.010230531,0.78023374
8.909757e-05,0.97295296,0.00014952032,0.003161327,0.023647198
7.31125e-11,1.9944311e-08,4.1368708e-10,1.01712486e-10,1.0
0.0035868417,0.00041911818,1.7310633e-06,6.311493e-06,0.9959859
5.725182e-06,0.7242091,0.00035796623,0.00019090612,0.27523643
8.178147e-05,0.9629562,0.0001630724,0.002789933,0.034009054
3.6765603e-05,1.0677964e-05,4.227695e-10,1.1490949e-09,0.99995255
0.0009332069,0.00091917004,3.296286e-05,2.1845748e-05,0.99809283
4.9083472e-05,4.6831217e-05,1.7531862e-06,3.099608e-07,0.999902
0.0037308545,0.54368144,0.0002390294,0.0007521286,0.45159656
0.6314839,0.008572997,7.4843025e-05,0.00030796102,0.35956037
0.0020446857,0.62291396,0.0042982167,0.15382674,0.21691638
0.9898992,0.0032421702,0.00040934558,0.00018588331,0.006263304
0.0019199481,0.028986221,0.00040127928,0.0040461654,0.96464634
1.463765e-10,2.1007929e-05,4.6501903e-08,0.9999783,5.777657e-07
