chair_0,chair_1,chair_2,chair_3,chair_4,chair_5,chair_6,chair_7,chair_8,chair_9,chair_10,chair_11,chair_12,chair_13,chair_14,chair_15
5.39624e-06,1.2671167e-06,0.00015793047,1.8726655e-07,0.72514945,0.0023281951,8.400783e-09,0.0986254,5.355127e-07,3.1096497e-06,0.09447689,0.00029462288,0.0037780646,6.896096e-07,0.074463606,0.0007145946
0.020853246,6.730033e-08,9.349799e-09,5.4844074e-10,2.4616194e-05,3.4661384e-06,1.1380304e-12,0.0006849678,3.1967436e-11,5.219678e-11,1.0209641e-06,0.026158674,1.0549558e-05,9.775769e-09,0.95226336,4.2223873e-09
0.49399948,3.6110586e-07,0.008578138,0.00048060657,0.00047717604,4.575864e-05,2.936432e-10,0.002825793,3.1605364e-08,4.4547352e-07,0.00014617147,0.1493253,1.174368e-05,8.029076e-07,0.34410667,1.5092484e-06
2.7163653e-05,1.9799232e-07,8.213273e-05,4.7329563e-06,1.2628982e-05,3.5183718e-06,1.9657447e-09,8.1496855e-06,5.667278e-09,8.3325496e-08,1.1209966e-05,0.0004509307,4.2801985e-06,2.4364113e-07,0.99939466,3.7805915e-08
0.00021114836,0.0044413162,1.545148e-05,0.00047833374,0.0006987167,0.34181142,0.00031308833,0.0003964985,1.7338074e-05,1.6604787e-05,0.015462343,0.052675843,0.00015140366,0.0006145055,0.5825798,0.000116163734
8.801289e-05,6.231479e-05,8.432919e-07,4.2511492e-05,1.26912055e-05,6.4622975e-05,3.7817966e-07,1.9068988e-05,5.74522e-07,7.2924684e-07,1.0205969e-05,0.9981998,1.4671585e-05,0.00058122363,0.00090212043,1.8277304e-07
0.0027064234,1.1208958e-06,5.9759335e-05,2.1410112e-06,0.0002595497,0.0013263443,1.2760937e-07,0.4262194,4.401446e-07,0.00033265777,0.36012492,0.00021915855,0.00877461,1.32208725e-05,0.19991405,4.6137895e-05
0.00507066,9.080867e-07,4.0667865e-06,9.136074e-08,0.5357263,0.00014428417,9.163394e-10,0.4577453,1.8150513e-05,1.7483667e-07,0.00017648535,1.1984465e-05,0.0005678228,2.8453682e-08,0.00047997056,5.3716638e-05
0.00041368144,1.4495195e-10,1.3641596e-06,6.8476793e-09,7.6159125e-07,1.382809e-06,1.5444255e-09,0.91374147,3.1574499e-09,1.0535875e-07,2.4093033e-06,2.964275e-07,0.0006507555,2.8618152e-09,0.08518774,2.1839972e-08
0.010472719,0.8709905,4.266419e-05,0.00024185573,0.0033001832,0.053858038,0.00011049923,0.0076096104,0.00018673448,0.000510119,0.01941476,0.0016681816,0.011931329,0.0022926792,0.016581582,0.0007885536
0.0019452753,9.759547e-06,1.8661369e-05,0.00025522677,0.0016707258,0.17098118,2.2871886e-07,0.00015357211,1.1184238e-06,7.7671324e-08,0.000115452196,0.45833543,1.3069623e-05,4.817581e-07,0.36649913,6.4968253e-07
0.00067604444,0.00013751077,0.0006655239,2.873057e-05,0.0026089621,0.0011070111,7.0932336e-05,0.00077471253,9.100768e-06,6.5543085e-05,0.033921644,0.12874572,0.00039255543,0.00045635304,0.83032614,1.3457273e-05
0.0049960595,7.9197855e-07,3.4375087e-06,2.4934783e-07,0.014902546,0.00043778194,9.2363645e-10,0.9794631,1.4614478e-05,3.6392066e-07,8.6891545e-05,4.904634e-08,5.6005872e-05,4.3288216e-07,2.7374447e-06,3.489979e-05
