bed_0,bed_1,bed_2,bed_3,bed_4,bed_5
0.0058904127,2.0315363e-06,0.0005488744,0.5431194,0.43887573,0.011563591
0.008890385,3.574755e-06,0.00028242337,0.0063830274,0.9844163,2.4279927e-05
0.009035842,9.1307906e-05,9.807677e-05,0.05947622,0.8435635,0.08773515
0.012309685,3.3489684e-06,0.85488296,0.0003462505,0.12447848,0.007979278
0.011652629,3.5019764e-06,0.0009980918,1.0159537e-05,0.9847531,0.0025826215
2.2258646e-05,0.006923855,0.004503984,0.50134766,0.0012869227,0.4859154
0.9675739,4.0958025e-06,0.00034286853,8.5662214e-05,0.03199038,3.0527044e-06
0.9675739,4.0958025e-06,0.00034286853,8.5662214e-05,0.03199038,3.0527044e-06
0.0034433412,5.935284e-07,0.00042022113,0.00088691816,0.5009664,0.49428242
0.0057701725,1.8090516e-06,0.050158653,0.0017737849,0.22664988,0.71564573
0.0015047669,0.025749298,0.9383266,0.0055629434,0.0018992126,0.026957156
0.0018701238,2.9657838e-07,0.0006896841,0.0026772553,0.2445075,0.75025505
0.0001652393,0.1319927,0.21942697,0.011900804,0.0014556869,0.63505864
0.061528552,2.3588364e-06,0.002256481,0.00023394379,0.9358301,0.00014857756
0.012546667,1.0708555e-06,1.6971924e-05,0.00025436908,0.98717636,4.636314e-06
0.35399047,3.5243487e-05,0.25927046,0.0016713194,0.3381628,0.04686968
1.9954134e-06,0.0031258531,0.0058208606,1.4609843e-06,1.1883809e-05,0.99103796
0.00066652393,0.0029876502,0.99163437,0.0009220175,0.0013556586,0.0024337014
0.01683588,0.00010280649,6.077476e-05,0.0319803,0.9303999,0.020620415
0.00014079684,1.9423338e-07,2.3796907e-05,0.00015002846,0.99968255,2.6517343e-06
0.0005149071,0.03327384,0.86447066,0.0038669962,0.0100831175,0.08779053
0.0002561952,8.023416e-08,6.9085017e-06,0.005282205,0.03251871,0.9619359
0.032419857,9.866455e-06,0.06586246,0.008998438,0.8919744,0.000734972
0.012286036,2.2698894e-05,0.009774062,0.09071507,0.88711685,8.525291e-05
0.07194703,3.0741063e-05,0.027901564,0.00036061465,0.8786896,0.021070492
0.012596021,4.972204e-05,0.0019100539,2.19505e-05,0.98275363,0.0026686103
0.010925606,1.3391094e-06,0.0002724103,0.0001386271,0.9886507,1.12898015e-05
0.00018447048,0.049136184,0.1124662,0.00044755012,0.0006507911,0.8371148
0.00438357,4.76737e-07,0.0009034723,0.14212598,0.029617993,0.82296854
0.00036122047,0.0066978605,0.6849589,0.009663213,0.0035417,0.29477707
0.35399047,3.5243487e-05,0.25927046,0.0016713194,0.3381628,0.04686968
0.069856584,1.570744e-06,0.029090768,0.00632064,0.89273685,0.0019935928
1.2599016e-09,5.808038e-10,0.99999917,6.4534833e-10,8.6408767e-07,1.4851584e-09
0.0012375342,3.014625e-07,0.9074067,0.0003769049,0.09087234,0.00010634883
6.0833787e-07,3.2022275e-08,3.0760855e-06,0.0001345313,8.735709e-06,0.999853
0.06486389,0.00030216883,0.1503519,6.3189094e-05,0.54842395,0.23599486
0.0007498711,6.5743016e-08,1.2876756e-05,5.3613054e-05,0.99917763,5.917608e-06
0.0058904127,2.0315363e-06,0.0005488744,0.5431194,0.43887573,0.011563591
0.000121504934,7.748007e-07,0.0007074291,0.0025861864,0.0142609645,0.9823231
0.058975436,2.3100876e-05,0.000215966,0.0047682473,0.92757744,0.008439834
0.032027964,1.9715057e-05,0.03637704,0.076539434,0.8215439,0.03349193
