,name,price,link
43,VrVF17WTyF0fGPK,21790,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-krovat-sandra-lajt-2-id75826/
44,SxncX4D2fKyIzUU,14590,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-bardi-id159098/
45,cTRSQhfL5c1Nq14,40380,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-eva_53268-id177199/
46,FVavBI0StGcQp9J,23490,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-krovat_s_ortopedicheskim_osnovaniyem_neapol-id125301/
47,3IPInuL5G5Fl19n,12990,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-krovat_praga-id150638/
48,UscGX8N5qw6BfkU,16990,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-lejla_53885-id179499/
49,iKpBexUPZZuNDpp,11240,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-paola_51679-id169765/
50,R8zET91XpV6JwvW,5940,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-yukki_53581-id178299/
51,h3JnS0evIZuClhO,33490,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-vega_sapfir_54071-id180600/
52,HKBmnPxdoWtE7Kw,12990,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-majra-id179506/
53,G2twPm3Ovp4qyNg,7990,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-severina_52083-id171781/
54,qiK0hUgLtgU1CtJ,6890,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-iris_54121-id180663/
55,5GAmOcEOSi4QIex,36890,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-kapri_48120-id152476/
56,tOGGXBPeMj4JuUN,35590,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-kapri_lux_pm-id158974/
57,CRwP11J2ABrjwSH,14290,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-amber_52769-id174444/
58,1TNaNJBLD3Lee23,23690,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-fresko_pm-id156234/
59,7tcJfwNoldIvaw8,15650,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-edinburg_51851-id170907/
60,cCjDzcXiBHOp2Kf,25290,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-leona-id177485/
61,GLQZrI544CHjQWN,17490,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-orion-id149735/
62,b2NJaBb3wF0EmGy,12400,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-grejsi-id177467/
63,4yhfiqgOLKlSEer,11590,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-marti_53367-id177461/
64,7OcVRUjrEFoulJN,8190,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-skandika_53698-id178664/
65,KFbTXFpRpTx1AvT,20999,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-agata_44818-id141402/
66,uOad1UTmHFLmd3t,5180,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-greni_53603-id178330/
67,FEo299Vzzg397Lj,45992,https://pm.ru/category/mebel-dlya-doma/krovati/dvuspalnye-krovati/goods-boston_53918-id179756/
